用户ID,房产信用评分
164598,92.32
395381,76.13
484918,50.69
485739,70.55
176539,32.89
485635,73.43
703984,84.36
696813,77.66
172235,93.0
707282,85.04
174858,85.97
173048,76.51
545085,79.42
175690,76.28
474393,50.69
701051,83.52
628797,90.61
324731,63.53
479110,74.21
399439,83.93
473581,73.19
403839,38.64
173010,63.11
696858,84.89
483226,73.97
546610,79.35
236020,76.65
546618,74.5
546619,73.87
167926,90.5
396319,87.17
703405,84.55
703406,85.29
696816,85.25
175705,38.96
174872,54.52
540279,41.02
167778,93.09
174026,90.45
235979,75.28
316872,81.45
397106,54.47
165464,59.87
699294,80.68
169630,74.89
548345,46.37
401149,80.46
539355,73.87
323009,59.35
319399,81.09
618177,90.45
787169,57.82
324629,82.31
811716,71.51
154785,92.58
394540,86.9
394541,83.7
553936,78.8
176593,89.1
322071,78.94
324677,82.3
483986,74.03
167858,93.02
153493,92.4
703344,84.16
547538,58.41
807971,50.31
619032,89.32
619033,90.39
478277,74.12
483318,68.4
483319,70.33
626946,89.95
235237,76.19
625301,90.12
231931,75.4
313786,80.8
703420,76.9
703421,82.92
704122,85.2
481706,15.6
481707,34.09
240358,72.88
553036,79.06
485821,73.61
556359,72.72
406415,71.78
321192,82.27
321193,79.71
483991,73.33
483992,72.65
483993,70.03
628658,68.95
628659,68.95
702531,85.06
477501,66.7
478231,68.01
699327,83.78
477392,74.46
626178,90.09
705759,84.69
163776,92.93
623092,90.23
477533,73.56
243760,76.31
393624,85.53
325570,82.41
701033,84.03
159823,33.27
168785,93.31
626979,89.43
479929,73.62
706507,40.35
403044,87.74
242010,68.44
242011,55.66
315231,82.52
397710,87.96
234305,76.97
163635,55.25
701853,25.16
175788,37.75
703445,61.49
695986,84.83
402847,87.53
549064,25.46
238516,17.06
167750,91.31
235968,75.11
545928,70.03
627775,89.94
169656,50.34
168771,82.5
547557,74.11
316050,65.68
704813,68.38
779524,63.29
701832,77.81
315345,79.96
247454,75.86
556360,72.72
396219,88.02
623998,90.74
247422,77.08
545082,71.82
545083,56.65
163634,93.39
395339,87.98
399594,87.2
168677,92.6
321963,82.27
550860,79.45
627951,90.48
707459,84.5
627865,88.62
393830,79.52
234359,76.48
171377,92.39
808858,71.17
699365,66.28
795682,70.64
706493,82.66
545745,79.64
477545,72.7
479944,72.53
621535,89.78
623755,90.31
704983,68.17
398688,76.49
403787,64.19
172306,69.59
618055,73.33
477489,74.2
549896,76.12
628701,86.59
476818,72.44
703972,84.03
234240,76.32
544937,79.02
707441,84.03
240401,77.15
550012,79.55
169571,93.34
480035,74.44
811012,53.48
239538,16.69
235241,76.77
167025,93.32
316146,82.52
172272,92.92
321290,81.24
236131,70.33
627858,72.19
397856,86.01
241971,77.12
696751,84.48
157494,92.58
482521,66.11
547555,75.74
479911,70.34
169658,91.72
480734,73.2
401168,86.31
707372,84.0
549922,79.15
247366,72.91
476786,70.21
403808,85.05
172326,90.45
700872,85.06
621480,88.94
479915,73.89
626963,90.17
625414,88.29
398709,85.59
236005,38.85
707442,83.34
483242,73.56
626172,90.21
322088,82.33
697574,85.02
480701,45.33
318709,49.07
168797,93.37
400359,87.99
321302,64.09
696855,51.77
236953,75.98
479879,73.28
168727,92.6
626315,89.9
480804,72.94
319434,81.04
172226,92.39
696801,85.11
550791,79.71
706530,84.15
794820,71.21
168742,93.1
620571,89.81
794822,26.85
400305,43.05
704829,84.62
786759,67.32
401147,81.9
243816,68.9
325544,28.16
401207,87.21
401208,80.67
401209,80.67
324683,70.45
548363,58.41
153651,89.99
623855,55.12
398739,83.18
546633,56.65
625446,88.78
546632,79.33
482369,72.89
239524,75.0
153650,93.02
400478,87.62
627859,57.17
705142,85.18
167156,93.43
558033,79.83
249096,77.14
625635,90.65
705141,85.19
153498,93.37
167154,93.25
558031,79.86
558032,79.9
167155,93.43
398112,87.9
478483,74.39
167152,93.46
398110,87.97
558030,79.94
167153,93.34
167157,93.25
249097,77.05
780375,69.13
478484,74.53
705143,85.33
249099,77.24
398114,87.97
558034,79.69
776369,68.74
249103,77.1
398119,87.9
159464,93.24
249104,76.98
625636,90.46
398120,87.95
478485,74.26
153499,93.35
316361,82.24
478486,74.43
478488,74.47
478487,74.53
167162,93.38
249105,77.18
249106,77.22
316364,82.62
558040,79.83
696789,41.05
315202,80.34
704005,82.87
316094,82.15
478227,74.05
550831,77.03
478214,73.86
553145,66.4
316823,81.83
478328,74.03
479984,73.91
170438,92.84
401315,87.44
554811,79.96
475292,74.54
231055,77.19
318695,37.65
553067,69.48
553068,69.48
704951,84.07
480824,74.52
695996,83.8
176627,93.04
700985,85.16
700986,84.76
702586,84.92
480052,14.36
480053,14.36
626318,90.62
318686,81.33
473644,62.71
475158,74.56
405585,82.93
546611,78.88
237745,67.48
620637,45.75
315993,81.3
166208,90.96
789670,65.97
627141,90.69
627142,90.69
700139,85.36
707344,71.4
321128,81.5
174890,92.52
324612,81.41
398115,87.87
398116,87.95
398765,87.95
558039,79.85
558038,79.57
316363,82.24
398117,87.97
249100,77.17
167158,92.96
249101,76.53
249102,76.84
316359,82.57
398118,88.02
558036,79.88
558037,79.88
558035,79.88
780376,69.12
625637,90.68
316362,82.6
705145,85.33
802179,71.36
627103,89.43
618067,90.45
403756,87.75
157567,92.46
172261,85.74
402893,85.39
239522,76.6
540280,79.77
168804,92.93
172217,74.33
316360,82.57
705146,84.62
167160,93.37
705147,85.17
402937,86.66
617288,89.72
402938,87.59
773366,66.46
320417,81.33
545016,79.22
401159,87.53
626247,88.26
235978,49.06
549081,79.03
627769,90.74
157496,92.06
399516,87.32
236986,66.61
479916,68.57
696029,77.58
316838,81.23
157615,88.07
620670,88.86
155013,84.32
556273,70.82
235256,55.71
625332,69.21
171316,84.95
483185,25.14
240372,56.78
696833,68.84
322863,44.25
241275,38.85
554748,69.42
313616,48.18
704149,84.68
236139,75.48
403823,85.84
696914,81.78
550902,78.37
484812,72.35
698455,84.04
405412,87.41
403052,72.61
696790,83.03
244703,77.24
474421,74.51
476807,42.97
695182,76.08
549183,76.72
161452,92.75
321232,81.87
550761,79.17
483213,74.09
483214,74.4
484965,71.95
324643,49.07
403715,84.51
240362,73.71
403731,76.13
550820,19.77
552992,78.05
552996,60.83
619717,89.02
698490,83.62
620671,71.63
480845,72.52
159604,88.93
626967,88.72
704006,84.88
544967,78.56
704007,83.96
773468,68.98
550028,79.64
617373,30.56
474481,74.26
176691,93.09
625328,87.31
545884,77.38
169577,92.51
231967,68.64
313700,76.81
163777,92.83
176649,91.78
323043,82.51
399438,88.0
171360,66.94
548355,78.24
237802,76.12
171386,92.03
550016,66.98
617228,82.32
696109,84.22
696110,83.59
482477,72.91
172190,74.33
788856,45.29
484982,72.56
540171,79.08
403849,87.53
538513,79.17
241141,76.73
620678,71.63
399546,86.31
317749,80.92
538598,73.87
484020,68.47
618247,80.83
318614,81.92
323002,82.47
619047,90.48
698506,61.49
698507,61.49
323774,76.57
539469,73.87
619786,80.83
626959,79.71
547554,69.86
550027,63.3
325578,28.92
621506,78.83
550896,73.18
169620,93.1
707348,83.16
548331,63.44
318708,66.14
237787,43.67
548332,79.08
237788,75.66
792107,67.75
394477,83.89
701019,84.3
474351,73.35
540295,72.18
174830,91.31
319487,81.92
395540,84.02
395541,84.02
550839,19.77
164526,46.45
545906,60.83
235280,69.22
550845,64.89
702517,83.15
539356,78.74
625416,71.63
401204,87.44
403735,76.96
482499,50.69
321217,58.79
481529,74.33
695165,85.06
556329,41.75
322936,81.21
239417,66.16
705729,83.37
478327,65.91
169520,92.22
318623,59.35
480003,74.11
706644,62.05
170432,85.68
553085,78.83
403900,87.9
167863,33.27
324679,70.73
241124,60.08
696924,68.18
538599,79.79
232055,77.2
404586,87.64
321996,80.19
321997,80.19
475983,74.47
164483,93.29
153818,87.04
707432,81.0
707433,83.12
794879,71.07
621558,57.17
553911,46.37
231075,77.24
312939,82.67
312940,82.64
314457,59.98
479902,73.98
547539,77.71
322002,22.46
403803,27.86
477421,73.24
545042,78.56
235184,77.2
704865,85.25
159525,32.89
807566,66.46
705708,79.96
159976,69.59
554707,46.37
317852,82.05
706522,83.38
547526,77.93
705733,84.98
399465,86.57
163650,86.7
315181,80.16
166050,92.51
166110,93.14
166111,92.03
173090,91.96
483999,73.06
244691,76.47
401227,80.28
173959,89.4
238591,76.96
319548,82.65
786748,67.73
232027,57.72
239475,75.13
167018,92.91
404688,87.46
322923,81.52
321261,75.88
321262,82.34
483155,73.31
398763,27.86
696073,84.57
482434,72.46
161403,92.56
163824,81.52
167849,88.8
406318,84.76
324585,78.7
696097,84.57
172139,93.14
402977,87.71
172140,93.1
620558,36.26
485689,72.08
400382,87.12
479089,14.36
618167,30.19
701852,85.36
400315,71.11
167921,88.58
705744,83.91
406271,87.71
237699,60.98
172335,85.68
401237,85.05
398601,87.68
625307,89.82
402940,86.69
171444,92.89
402974,75.65
625317,90.47
480000,61.58
787640,56.18
400432,87.31
159623,92.87
625314,88.06
318671,82.39
482373,68.71
482374,71.9
399427,33.56
626128,30.56
807569,11.66
402972,87.55
321164,82.15
787641,65.94
546570,78.92
625344,87.15
546680,68.86
167859,74.89
479103,69.84
705706,84.63
167876,33.27
696907,79.16
169557,92.97
707305,84.87
553995,55.14
312845,52.31
397841,85.57
704161,83.73
397842,85.57
322871,82.21
539480,32.17
172145,91.67
802191,68.89
481701,72.82
157693,92.97
538580,76.07
176637,93.13
701069,85.05
244700,76.89
167049,91.86
239480,76.78
166102,92.75
234295,76.55
544960,76.28
234261,71.46
544961,76.28
393722,86.72
175751,48.45
401226,85.05
319430,79.65
234386,76.59
234333,76.76
545024,79.46
315262,81.87
166962,79.78
696051,68.38
403791,46.18
696880,66.23
624614,90.37
704835,81.0
324729,82.35
406455,27.86
703525,85.36
703526,85.28
315314,82.64
696908,83.84
322969,79.53
171324,93.34
807096,70.43
173057,75.05
403896,43.43
697606,79.82
241187,72.07
547493,79.11
617376,90.71
703483,66.23
165346,91.07
247357,74.25
170416,92.23
171309,38.51
695958,80.7
481685,69.9
247315,43.08
703432,50.0
540337,79.66
174940,93.16
553167,26.22
163828,79.35
623149,82.95
313597,32.4
404671,86.49
238518,76.65
627862,90.15
538530,79.67
396988,86.7
172244,86.6
483171,72.22
476099,74.2
700178,84.17
397718,85.43
153324,92.45
796099,47.99
476749,73.62
234290,77.12
234289,76.9
153248,91.64
549931,75.6
320364,81.91
795246,71.75
695234,84.75
168813,92.79
696101,74.02
695998,85.27
553877,73.99
546755,79.8
547518,75.14
547543,79.73
810923,71.38
316110,82.54
479069,53.54
167845,51.58
398757,79.55
168676,92.49
479225,73.32
623048,90.62
475257,74.45
173198,70.15
697751,84.12
236138,74.29
317692,65.48
705691,72.38
623897,84.42
164653,80.18
319557,80.61
623065,37.13
554794,26.33
315308,81.1
153333,91.9
172207,93.11
403048,85.89
172208,92.48
695949,81.64
152427,77.18
401235,87.92
480818,71.55
482507,74.38
550753,79.78
320332,82.15
628707,90.17
481649,73.97
788443,68.65
623796,89.13
315223,81.38
397698,86.43
315224,81.38
401167,83.24
400271,86.03
628645,89.13
244558,17.06
482448,72.51
808875,68.44
321153,79.23
625433,73.58
398731,70.88
696083,84.14
400475,87.02
480048,73.16
627110,89.72
236898,67.54
317802,76.64
171329,93.0
171330,92.93
538686,59.48
484125,58.04
473487,68.64
482503,61.74
788855,56.34
704828,84.01
706573,79.78
236022,76.96
479193,73.77
236803,76.26
538518,79.86
403778,84.61
321966,81.45
400386,87.58
479956,74.08
399538,84.53
405503,87.5
323772,82.1
397695,87.45
704025,85.32
398628,38.64
544980,79.41
624539,90.18
166201,88.58
624540,89.9
623791,89.69
623792,90.06
153317,92.77
793052,68.09
166883,70.15
704168,77.22
158633,85.32
478377,53.01
235151,74.61
477582,72.04
316943,79.19
479044,70.28
555506,78.82
322101,81.83
157682,92.63
623819,88.93
238600,41.9
624503,89.49
397778,86.6
485655,57.58
793567,67.58
166997,93.28
624659,90.58
166993,92.98
545832,79.75
704083,82.35
173905,93.02
322981,82.22
322865,79.06
322837,33.24
159442,38.1
235271,75.52
398635,82.0
155163,71.91
235098,76.77
624598,90.56
166910,89.1
545734,75.6
476715,74.01
544997,79.71
793056,68.22
793050,68.57
704012,83.48
234273,77.17
696023,51.18
170419,92.24
550773,74.13
317813,74.22
400324,84.93
317880,79.53
166059,91.14
318680,76.92
484852,73.95
405451,87.45
236813,67.33
317723,81.61
399518,78.13
803436,70.67
322032,82.31
235108,76.5
786753,64.8
704970,85.22
398694,84.34
167831,88.8
167832,88.8
167774,91.34
398695,85.47
625401,57.17
167766,59.87
315991,82.49
704144,85.22
546613,19.39
546614,49.49
158613,91.86
705670,84.73
316971,82.08
479083,71.37
619741,85.98
704133,75.43
624533,88.48
158623,85.32
477482,73.61
478375,73.81
704987,84.81
546573,72.18
705626,40.35
625417,45.75
398719,54.47
705628,75.58
167817,90.79
236018,72.14
479042,73.59
167833,92.49
705651,77.58
546683,38.13
626116,72.73
626117,89.92
236093,76.42
625490,83.16
705701,66.23
478354,73.12
398676,85.47
153322,91.45
166116,90.85
623811,88.15
397707,86.05
316908,80.76
235117,73.65
545751,75.6
398716,85.39
315235,82.1
476764,74.0
166123,92.87
478404,66.78
477484,72.96
316958,72.94
546656,70.24
167844,45.67
545848,26.22
625480,70.28
399414,77.52
625479,72.19
479098,58.04
167877,76.94
398661,82.35
553825,79.9
473637,73.55
624574,89.79
166875,70.15
166876,92.49
625394,89.05
477541,70.95
545737,75.6
316044,82.05
397865,87.02
166925,89.84
624611,90.67
397864,87.97
398720,87.52
546601,79.36
625464,57.17
625482,88.83
546684,19.39
479084,13.99
167885,39.72
236095,68.75
623043,81.97
702634,84.9
154962,93.0
176550,67.66
700978,64.88
320253,81.29
555473,68.95
624587,89.34
477530,68.8
316030,73.72
704173,72.07
476727,69.18
315188,79.78
485756,69.43
170431,63.74
153014,90.27
237736,75.75
169537,91.48
169538,70.15
174840,87.15
396975,86.08
617412,71.42
172240,54.33
406470,87.66
485813,74.4
553024,79.89
402189,87.78
628761,85.57
481691,69.84
243753,22.76
481697,73.77
238554,71.36
548264,79.41
397755,86.08
234367,76.81
155103,83.53
695130,47.44
173135,81.25
242148,27.84
619045,90.06
698435,84.66
173050,90.8
322109,80.0
697670,79.88
322828,81.25
696056,81.54
549080,73.88
324684,47.09
477442,74.14
704114,83.08
316033,80.68
397706,87.74
315229,82.53
544992,78.6
623803,89.16
317785,82.11
316969,77.81
696011,84.13
621462,89.34
169715,92.8
319444,81.08
171460,91.34
550061,77.84
553841,78.72
621524,89.52
403049,82.23
479071,68.47
546665,78.52
241177,77.12
167864,90.45
544919,76.29
544920,79.86
544921,77.64
393629,85.13
479919,64.53
626969,87.99
168780,82.98
243755,49.67
324746,62.89
483183,73.15
316023,80.85
235077,76.63
235078,75.9
618917,89.2
476856,31.44
247439,27.84
316827,82.47
478288,73.81
167038,88.8
316154,81.48
478291,64.84
316155,81.48
167041,89.74
235986,74.65
625408,88.15
167784,92.77
478380,73.86
546575,79.48
316893,81.22
625409,89.91
235988,76.44
478384,49.62
398700,85.64
625410,88.55
398744,78.34
705655,84.94
236045,77.15
479051,74.45
546649,79.41
479052,73.66
479050,74.26
625450,90.67
546642,79.87
316950,78.87
166996,93.42
153411,93.41
625415,90.41
393811,83.55
394626,88.04
244722,77.24
167042,67.42
478287,73.61
478294,66.05
477583,73.93
545785,78.95
234213,76.09
396984,87.48
704065,84.71
166128,92.13
315954,81.92
545049,79.79
397759,87.89
624485,90.19
234373,74.68
545021,78.69
234330,74.76
477394,73.72
398551,83.55
166985,83.34
316052,74.22
397863,87.83
166920,89.1
166193,91.7
624528,89.78
166194,92.48
316832,82.34
625357,90.67
545014,79.49
397783,87.51
234382,76.9
477459,74.2
315233,82.09
704113,83.76
398701,82.58
478381,69.08
316095,81.53
316947,82.26
167807,91.44
236046,70.74
705672,84.5
479072,73.25
624593,90.31
625481,85.69
398608,48.93
316928,81.26
316929,82.02
316886,81.57
704976,83.52
167786,89.0
705616,84.6
235989,76.13
786749,69.03
235086,77.14
166888,93.33
322023,79.98
545828,78.47
478235,73.47
623831,88.26
153328,93.15
625341,73.33
235273,16.69
478326,13.99
544948,71.97
315179,74.67
775873,46.99
477458,73.77
397785,87.95
167755,76.94
546615,78.98
787168,38.81
167890,90.59
705718,85.19
478366,53.01
398680,82.0
545744,65.39
153395,89.38
625398,84.42
545938,79.08
546584,60.83
546582,34.95
546583,62.5
478382,70.84
776403,65.44
398746,86.06
546643,79.73
546644,76.24
479046,58.04
625451,74.48
479085,29.55
479086,29.55
546688,20.61
399417,28.71
546700,46.37
705700,51.77
399443,75.41
399444,53.41
167887,93.18
234334,76.47
545900,64.91
695938,85.11
704980,82.66
316866,77.94
398685,83.34
704979,64.88
623774,90.68
397039,87.22
544963,79.5
316888,61.11
546576,58.41
316067,81.83
477565,73.63
316896,81.06
478385,63.22
167789,90.43
625422,89.86
478398,73.99
545765,79.59
546602,79.42
478399,70.84
316912,81.44
546650,67.14
236047,61.95
479047,31.56
236075,31.1
167867,47.3
236078,31.1
315955,80.76
477445,72.66
167882,93.28
167883,93.23
479096,15.21
776404,58.43
625454,89.2
167838,88.31
624602,89.16
316049,81.06
545896,79.79
398637,87.89
624629,86.73
316085,82.42
166955,92.8
319451,79.73
477511,73.26
477512,73.23
477513,73.62
235201,76.49
545831,79.19
167790,92.24
235990,67.54
316059,82.62
234423,76.91
397797,78.13
544911,78.56
484069,68.54
549895,79.05
704072,84.66
704073,85.06
406410,87.29
315300,80.17
626264,89.7
175638,88.74
704819,81.0
235114,77.03
166922,93.23
545923,79.4
776356,54.63
397786,87.91
235123,75.74
166930,80.48
235124,74.96
625383,82.86
235951,69.77
316849,81.96
159450,84.95
314612,79.14
556291,76.44
704913,78.72
401326,84.0
481506,69.59
704907,79.51
398604,80.57
704911,51.77
398613,54.47
318526,81.26
479912,73.24
624486,88.95
806763,71.33
397760,85.56
478410,70.23
546616,75.3
316922,79.56
166174,70.15
398726,84.68
398727,84.68
316926,70.62
316927,74.61
794022,67.18
793058,68.84
625346,79.66
235268,66.16
624555,90.49
545084,79.53
316831,81.2
235963,76.54
235958,36.84
786755,53.51
775921,68.43
545740,76.48
316042,79.49
397773,80.2
166938,90.24
398706,84.32
625343,90.23
159441,93.0
235119,77.22
623707,89.53
794027,68.19
477500,64.63
545051,79.51
166178,89.84
315302,80.38
780315,52.18
234374,76.29
316118,80.61
316116,81.8
704841,84.53
477578,71.55
235145,74.76
545781,77.54
545782,77.46
624622,88.34
544941,79.54
397011,86.25
315254,81.28
166900,93.34
166901,93.33
166902,93.34
158620,70.15
315966,82.17
234384,76.53
397792,81.97
625350,78.83
545899,68.03
545892,71.78
625335,86.7
316864,82.41
167809,83.43
479111,73.37
167891,90.46
704932,85.18
478319,74.42
167805,83.43
704859,83.04
397900,85.74
167825,90.31
167826,87.66
160068,92.37
807163,71.06
235210,75.85
167000,92.05
316853,71.53
398631,81.72
235964,68.75
776397,67.65
546645,78.95
705661,75.64
235157,76.56
624636,89.97
625472,47.64
625461,90.19
397850,87.69
399421,87.97
236089,73.98
236094,76.1
316994,82.45
626120,90.25
399433,67.58
167878,78.39
625345,71.52
235267,76.78
315297,82.11
319446,63.53
624517,90.37
624518,90.03
166186,70.15
397812,87.29
155110,70.15
397813,72.41
624553,73.78
167093,81.53
167758,93.14
398686,87.74
167760,89.74
167764,88.78
235991,76.98
235992,74.3
478387,66.05
478388,66.05
478391,69.88
316899,75.72
316054,74.22
235118,76.84
704824,81.0
316058,81.91
167818,92.93
398732,87.53
546617,71.0
398734,68.93
166974,92.55
397897,78.13
397898,86.08
704858,77.22
546652,75.91
398751,63.12
786754,68.19
166915,83.53
704814,84.91
625483,90.41
705687,83.86
316936,80.49
153494,81.53
705715,83.7
705716,82.89
705717,82.43
234387,75.28
158621,92.79
166190,88.58
545090,79.64
167757,78.39
625399,75.69
402865,84.34
696006,81.76
397763,78.63
155104,87.66
316903,63.53
235997,34.26
398711,45.06
236027,76.8
546622,76.97
625457,36.26
545812,79.24
235181,76.99
776405,24.15
479064,29.55
166146,90.43
166147,90.43
546670,60.83
705675,66.23
477398,74.4
545020,79.84
153329,91.86
477397,74.07
479094,56.99
477575,73.1
704838,84.09
624621,89.36
793055,69.05
627931,82.98
234363,76.62
477426,73.79
234327,76.71
236989,76.04
787158,51.98
625400,73.58
546561,67.71
624581,89.71
477521,72.99
235079,74.76
705621,84.4
787164,66.44
707279,63.81
704115,84.89
234376,75.88
705665,77.31
807094,71.38
477514,74.08
776352,64.78
316966,81.96
166917,90.64
624595,89.36
166903,90.58
477535,71.68
316986,42.24
316987,65.47
399428,87.83
236098,73.66
167892,89.71
807565,64.98
807568,38.27
401316,78.34
549138,38.13
624521,89.16
545067,79.77
624522,82.62
235179,71.36
704967,30.86
398670,47.64
398618,87.04
316159,81.25
546562,58.0
478284,74.46
478285,74.46
545931,79.15
398750,79.73
705662,61.49
545743,70.03
